asin	fnsku	product_name	fulfillment_center	country_code	longest_side	median_side	shortest_side	measurement_units	weight	weight_units	item_volume	volume_units	product_size_tier	average_quantity_on_hand	average_quantity_pending_removal	estimated_total_item_volume	month_of_charge	storage_utilization_ratio	storage_utilization_ratio_units	base_rate	utilization_surcharge_rate	avg_qty_for_sus	est_vol_for_sus	est_base_msf	est_sus	currency	estimated_monthly_storage_fee	dangerous_goods_storage_type	eligible_for_inventory_discount	qualifies_for_inventory_discount	total_incentive_fee_amount	breakdown_incentive_fee_amount	average_quantity_customer_orders
B08KG6XHN1	X002TD6AS3	AnnoyingPCB - The Prank Device That Won’t Stop Beeping for 3 Years	BHM1	US	5.75	3.19	0.51	inches	0.02	pounds	0.0054	cubic feet	Standard-Size	4.87	0.0	0.0257	2025-01	5.9	weeks	0.78	0.0	4.74	0.0257	0.02	0.0	USD	0.02	--	N	N	0.0	--	0.13
B08KG6XHN1	X002TD6AS3	AnnoyingPCB - The Prank Device That Won’t Stop Beeping for 3 Years	BNA3	US	5.75	3.19	0.51	inches	0.02	pounds	0.0054	cubic feet	Standard-Size	53.77	0.0	0.2904	2025-01	5.9	weeks	0.78	0.0	53.65	0.2904	0.23	0.0	USD	0.23	--	N	N	0.0	--	0.13
B08KG6XHN1	X002TD6AS3	AnnoyingPCB - The Prank Device That Won’t Stop Beeping for 3 Years	BOI2	US	5.75	3.19	0.51	inches	0.02	pounds	0.0054	cubic feet	Standard-Size	190.26	0.0	1.0235	2025-01	5.9	weeks	0.78	0.0	181.29	0.9814	0.8	0.0	USD	0.8	--	N	N	0.0	--	1.19
B08KG6XHN1	X002TD6AS3	AnnoyingPCB - The Prank Device That Won’t Stop Beeping for 3 Years	BOS3	US	5.75	3.19	0.51	inches	0.02	pounds	0.0054	cubic feet	Standard-Size	94.71	0.0	0.5103	2025-01	5.9	weeks	0.78	0.0	93.48	0.5061	0.4	0.0	USD	0.4	--	N	N	0.0	--	0.45
B08KG6XHN1	X002TD6AS3	AnnoyingPCB - The Prank Device That Won’t Stop Beeping for 3 Years	BTR1	US	5.75	3.19	0.51	inches	0.02	pounds	0.0054	cubic feet	Standard-Size	52.9	0.0	0.2829	2025-01	5.9	weeks	0.78	0.0	50.29	0.2723	0.22	0.0	USD	0.22	--	N	N	0.0	--	0.65
B08KG6XHN1	X002TD6AS3	AnnoyingPCB - The Prank Device That Won’t Stop Beeping for 3 Years	BWI2	US	5.75	3.19	0.51	inches	0.02	pounds	0.0054	cubic feet	Standard-Size	7.58	0.0	0.0344	2025-01	5.9	weeks	0.78	0.0	6.35	0.0344	0.03	0.0	USD	0.03	--	N	N	0.0	--	1.23
B08KG6XHN1	X002TD6AS3	AnnoyingPCB - The Prank Device That Won’t Stop Beeping for 3 Years	CAE1	US	5.75	3.19	0.51	inches	0.02	pounds	0.0054	cubic feet	Standard-Size	2.81	0.0	0.0133	2025-01	5.9	weeks	0.78	0.0	1.61	0.0087	0.01	0.0	USD	0.01	--	N	N	0.0	--	0.35
B08KG6XHN1	X002TD6AS3	AnnoyingPCB - The Prank Device That Won’t Stop Beeping for 3 Years	CHA1	US	5.75	3.19	0.51	inches	0.02	pounds	0.0054	cubic feet	Standard-Size	1.29	0.29	0.0054	2025-01	5.9	weeks	0.78	0.0	1.0	0.0054	0.0031	0.0	USD	0.0031	--	N	N	0.0	--	0.0
B08KG6XHN1	X002TD6AS3	AnnoyingPCB - The Prank Device That Won’t Stop Beeping for 3 Years	CHA1	US	5.75	3.19	0.51	inches	0.02	pounds	0.0054	cubic feet	Standard-Size	4.0	1.74	0.0122	2025-01	5.9	weeks	0.78	0.0	2.26	0.0122	0.0069	0.0	USD	0.0069	--	N	N	0.0	--	0.0
B08KG6XHN1	X002TD6AS3	AnnoyingPCB - The Prank Device That Won’t Stop Beeping for 3 Years	CLE2	US	5.75	3.19	0.51	inches	0.02	pounds	0.0054	cubic feet	Standard-Size	49.94	0.0	0.266	2025-01	5.9	weeks	0.78	0.0	49.06	0.2656	0.21	0.0	USD	0.21	--	N	N	0.0	--	0.81
B08KG6XHN1	X002TD6AS3	AnnoyingPCB - The Prank Device That Won’t Stop Beeping for 3 Years	CLE3	US	5.75	3.19	0.51	inches	0.02	pounds	0.0054	cubic feet	Standard-Size	1.52	0.0	0.0068	2025-01	5.9	weeks	0.78	0.0	1.19	0.0065	0.01	0.0	USD	0.01	--	N	N	0.0	--	0.32
B08KG6XHN1	X002TD6AS3	AnnoyingPCB - The Prank Device That Won’t Stop Beeping for 3 Years	CLT2	US	5.75	3.19	0.51	inches	0.02	pounds	0.0054	cubic feet	Standard-Size	25.13	0.0	0.136	2025-01	5.9	weeks	0.78	0.0	25.13	0.136	0.11	0.0	USD	0.11	--	N	N	0.0	--	0.0
