sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity	afn-researching-quantity	afn-reserved-future-supply	afn-future-supply-buyable	store
GD-ML89-C2SZ	X004HKRV2Z	B0DPHLK3Z6	AnnoyingPCB Micro - The Tiny Prank Device That Won’t Stop Beeping	New	17.97	No		Yes	0	0	0	0	0	0.01	0	0	0	0	0	0	
QZ-1HOH-FSII	X002TD6AS3	B08KG6XHN1	AnnoyingPCB - The Prank Device That Won’t Stop Beeping for 3 Years	New	19.97	No		Yes	2480	1915	39	505	3097	0.01	0	617	0	21	0	617	
